id,sentence,genre
CKfhGvUPXkY_seg_00007,সাথে ছুটে চলি পথে পথে যেন কার মায়াতে বাঁধা পড়েছে জীবন কত সুন্দর কল্পনা কত মিথ্যে প্রলোভন কষ্টের,Rock
CKfhGvUPXkY_seg_00008,প্রতিটি সোনা তার আহ্বান,Rock
CKfhGvUPXkY_seg_00009,ആമിനെ সুর উঠে ভেজে তোমার ঐ গানের মাঝে এই পথ গেছে মিশে আমার বেলা শেষে স্বপ্ন,Rock
CKfhGvUPXkY_seg_00010,ফিরে আসে দূর দেশে,Rock
CKfhGvUPXkY_seg_00011,জীবনকে কোন এক স্বপ্ন,Rock
CKfhGvUPXkY_seg_00012,আমি কার সাথে ছুটে চলি পথে পথে যেন কার মায়াতে মাথা পড়েছে জীবন যে কত সুন্দর কত মিথ্যে,Rock
cWlAszeTFG0_seg_00001,অনেকদিন পর যখন আমরা হবো মুখোমুখি প্রিয় চোখে,Rock
cWlAszeTFG0_seg_00002,তখন তুমি ছাড়বে কি দীর্ঘ শান বুঝে না বুঝে,Rock
cWlAszeTFG0_seg_00003,তুমি বলবে কি কিছু কথা নাকি হারানোর কান্না চেপে তুমি,Rock
cWlAszeTFG0_seg_00004,নিজেকে করবে আড়াল অনেকদিন পর,Rock
cWlAszeTFG0_seg_00005,যখন নামবে নতুন কুয়াশা রোদে এর চাদরে কি তুমি পাবে,Rock
cWlAszeTFG0_seg_00006,তীব্র উষ্ণতা বুঝে না বুঝে তুমি বলবে কি কিছু,Rock
cWlAszeTFG0_seg_00007,কথা নাকি হারানোর কান্না চেপে তুমি,Rock
cWlAszeTFG0_seg_00008,কি অদ্ভুত তাই না ভাবি আমি চলে গিয়ে তুমি থাকবে সবটা জুড়ে কি অদ্ভুত,Rock
cWlAszeTFG0_seg_00009,তাই না ভাবি আমি,Rock
ECh1rS2ipJw_seg_00001,তোমরা কেউ কি দিতে পারো প্রেমিকা তার ভালোবাসা দেবে কি কেউ জীবনে উষ্ণতার সত্য আশা তোমরা কেউ কি দিতে পারো প্রেমিকার,Rock
ECh1rS2ipJw_seg_00002,ভালোবাসা দেবে কি কেউ জীবনে উষ্ণতার সত্য আশা ভালোবাসার আগে নিজেকে নিও,Rock
ECh1rS2ipJw_seg_00003,বাজিয়ে আমার মনের মত দিও সাজিয়ে আমি বড় অসহায় অন্য,Rock
ECh1rS2ipJw_seg_00004,পথে একটি নাটকি দেখি মহাকালের মঞ্চে ও আমায় ভালোবাসেনি অসীমে,Rock
ECh1rS2ipJw_seg_00005,ভালোবাসা ও বোঝেনি ও আমায় ভালোবাসেনি অতলে,Rock
ECh1rS2ipJw_seg_00006,তোমরা কেউ কি করবে আমার জন্য অপেক্ষা ভালোবাসবে শুধু আমায় করবে,Rock
ECh1rS2ipJw_seg_00007,প্রতিজ্ঞা তোমরা কেউ কি করবে আমার জন্য অপেক্ষা ভালোবাসবে শুধু তুই আমায় করবে প্রতিজ্ঞা ভালোবাসার,Rock
ECh1rS2ipJw_seg_00008,আগে নিজেকে নিও বাজিয়ে আমার মনের মত নিও সাজিয়ে আমি বড় অসহায় অন্য,Rock
ECh1rS2ipJw_seg_00009,পথে একটি নাটক দেখি সকালের মঞ্চে ও আমায় ভালোবাসেনি অসীমে,Rock
ECh1rS2ipJw_seg_00010,ভালোবাসা ও বোঝেনি ও আমায় ভালোবাসেনি অতলে,Rock
ECh1rS2ipJw_seg_00011,এতদিন রাজ আমি একা হলে শুধু সেতা এত ফিরেও আজ আমি,Rock
ECh1rS2ipJw_seg_00012,একা মনে শুধু যে সুন্দর,Rock
FFO0BnWVmrY_seg_00001,রাত ফুরলে স্বপ্নটা ভেঙ্গে যাবে জানাল ার বাইরে এসে,Alternative
FFO0BnWVmrY_seg_00002,দাঁড়াবে ভোর ঘোরের বাতাসে মুঝে কি দুঃখ কেউ বলে দেবে,Alternative
FFO0BnWVmrY_seg_00003,একা থাকার মানে দূর রন্ত বাতাশে ভেতর হাটছি আমি রোদে কোথাও পাই না,Alternative
FFO0BnWVmrY_seg_00004,খুজে পরিচিত কোন,Alternative
FFO0BnWVmrY_seg_00005,প্রান্ত দিকে নেশু ঘাসের উপর এখন বৃষ্টি,Alternative
FFO0BnWVmrY_seg_00006,পড়বে আকাশ থেকে তারপর আবার আবার দীর্ঘ নিঃসঙ্গ রাত কেউ বলে,Alternative
FFO0BnWVmrY_seg_00007,দেবে একা আকার মানে দূরন্ত বাতাশের ভেতর হাটছি আমি,Alternative
FFO0BnWVmrY_seg_00008,রোদে কোথাও পাই না খুজে পরিচিত কোন মুখ আমার ভেতরে,Alternative
FFO0BnWVmrY_seg_00009,এক নিঃসঙ্গ মানুষ নিঃশব্দে কেঁদে ওঠে,Alternative
FFO0BnWVmrY_seg_00010,বৃষ্টির রাত শেষে দূরন্ত বাকাশের ভেতর,Alternative
FFO0BnWVmrY_seg_00011,হাটছি আমি রোদে কোথা পাইনা খুজে পরিচিত কোন মুখ আমার তার ভেতরে,Alternative
FFO0BnWVmrY_seg_00012,এক নিঃসঙ্গ মানুষ নিঃসন্দে ওঠে,Alternative
FFO0BnWVmrY_seg_00013,বৃষ্টির রাত শেষে,Alternative
G8SKzENt8Is_seg_00001,তবু এভাবে সময় আমার কেটে যাবে তোমাকে ভেবে তোমার নিয়ে স্বপ্নগুলো ভোর,Indie/Folk-Pop
G8SKzENt8Is_seg_00002,হলে যায় জেগে আকাশ মেঘে বৃষ্টি হয়ে স্বপ্নগুলো দেয়,Indie/Folk-Pop
G8SKzENt8Is_seg_00003,ভিজিয়ে তুমিও কি আমার সাথে পথে হাত চড়িয়ে কদম,Indie/Folk-Pop
G8SKzENt8Is_seg_00004,হাতে খিচতে চাই তোমার সাথে কদম,Indie/Folk-Pop
G8SKzENt8Is_seg_00005,দেখি তোমাকে আছো দাঁড়িয়ে আমি মনে নীল সারিতে হাজার হিরে সব ছাড়িয়ে,Indie/Folk-Pop
G8SKzENt8Is_seg_00006,শুধু তুমি আমার চোখে পথের ধারে তোমার আশা ভালোবাসার সব আছি,Indie/Folk-Pop
G8SKzENt8Is_seg_00007,দাঁড়িয়ে স্বপ্ন নিয়ে তোমার আকাশে সুরতে,Indie/Folk-Pop
G8SKzENt8Is_seg_00008,খিচতে যাই তোমার,Indie/Folk-Pop
G8SKzENt8Is_seg_00009,এক বলোতে চাই তোমার সাথে এক,Indie/Folk-Pop
jw5Ob3TXCho_seg_00001,অপূর্ণ রয়ে যায় ভালোবাসা থেকে যায় কিছু কথপ কথন অপূর্ণ রয়ে যায় ভালোবাসা,Pop
jw5Ob3TXCho_seg_00002,থেকে যায় কিছু কথপ কথপ,Pop
jw5Ob3TXCho_seg_00003,ছিলে আমার স্বপ্নে তুমি আজও কেন বহুদূর অনুভবে ভেসে আসে,Pop
jw5Ob3TXCho_seg_00004,সেই চেনা প্রিয় সুর কাছে যেতেও সংশয় দূরে থাকতে লাগে ভয়,Pop
jw5Ob3TXCho_seg_00005,এলো মেলো লাগে সবে অপূর্ণ রয়ে যায় ভালোবাসা থেকে যায় কিছু কথপ কথপ অপূর্ণ রয়ে যায়,Pop
jw5Ob3TXCho_seg_00006,ভালোবাসা থেকে যায় কিছু কথপ কথ ও,Pop
jw5Ob3TXCho_seg_00007,স্মৃতিগুলো মুছে যায় অচেনা কুয়া সাথে সময়ে যেন জড়াতে চায় জলহীন,Pop
jw5Ob3TXCho_seg_00008,বড় সাথে কাছে যেতেও সংশয় দূরে থাকতেও লাগে ভয় এলোমেলো এ আমি,Pop
jw5Ob3TXCho_seg_00009,অপূর্ণ রয়ে যায় ভালোবাসা থেকে যায় কিছু কথপ কথপ অপূর্ণ রয়ে যায় ভালোবাসা,Pop
jw5Ob3TXCho_seg_00010,থেকে যায় কিছু কথপ কত ও তোমার আমার,Pop
jw5Ob3TXCho_seg_00011,টুকরো সুতর বাধন যেন জাদুর মত,Pop
jw5Ob3TXCho_seg_00012,টানছে আমায় আলত করে বাধছে আমায় ভাঙছে,Pop
jw5Ob3TXCho_seg_00013,চোখের তারা উষ্ণ মালিশ তোমায় কেব খোজে ঝুমদু বৃষ্টি হলে,Pop
jw5Ob3TXCho_seg_00014,মেঘলা কেন সাজে অপূর্ণ রয়ে যায় ভালোবাসা থেকে যায় কিছু কথপ কথন অপূর্ণ রয়ে যায়,Pop
jw5Ob3TXCho_seg_00015,ভালোবাসা থেকে যায় কিছু কত পর,Pop
KdURvuVydnI_seg_00001,আমি নিতে দেবো না সময়কে এক মুঠো ভরা যোচনা যাই দূরের হোক,Alternative
KdURvuVydnI_seg_00002,না ছুতে আমি চাই না পৃথিবীর সব অপার বিশ্বয় থাক আমার,Alternative
KdURvuVydnI_seg_00003,অলেখা শূন্য খাতার প্রতিটি পাতায় সময় কাঁপ অলেখা আমি মেলবো না স্বপ্নটা না ওই নীল,Alternative
KdURvuVydnI_seg_00004,মেঘেদের ছোঁয়ায় আমি লিখবো না আর কাঁদবো কোন ছেড়া পাতায় আমি মেলবো না স্বপ্ন ডানা ওই নীল,Alternative
KdURvuVydnI_seg_00005,মেঘেদের ছোঁয়ায় আমি লিখবো না আর কাঁপবো,Alternative
KdURvuVydnI_seg_00006,আমি দেবো না পারি তোমায় নিয়ে নিষ্প্রাণ দিতে যে পথ ভুলে পৌঁছে,Alternative
KdURvuVydnI_seg_00007,গেছে শূন্য মরুর বুকে শেষ বিকেলে হারিয়ে যাওয়া স্মৃতি হাতলে,Alternative
KdURvuVydnI_seg_00008,বেড়ায় নিঝু রাতের অন্ধকারে স্বপ্ন ধরা খেলায় আমি মেলবো না আর স্বপ্নটা না ওই নীল,Alternative
KdURvuVydnI_seg_00009,মেঘেদের ছোঁয়ায় আমি লিখবো না আর কাঁদবো কোন স্মৃতির ছেড়া পাতায় আমি মেলবো না আর স্বপ্ন না ওই নীল,Alternative
KdURvuVydnI_seg_00010,মেঘেদের ছোঁয়ায় আমি লিখবো না আর কাঁদবো,Alternative
KdURvuVydnI_seg_00011,ఆ আমি মেলবো না আর স্বপ্ন ডানা ওই নীল মেঘেদের ছোঁয়ায় আমি লিখবো না আর কাঁদবো কোন স্মৃতির ছেড়া,Alternative
KdURvuVydnI_seg_00012,পাতায় আমি মেলবো না আর স্বপ্ন ডানা ওই নীল মেঘেদের ছোঁয়ায় আমি লিখবো না আর কাঁদবো কোন স্মৃতি ছেড়া পাতায়,Alternative
KWEHAN37n_w_seg_00001,একাকি মন আজ নীরবে বিভাগী তোমার অনুভবে ফেরারি প্রেম খোঁজে ঠিকানা আকাশে মেঘ মারে বোঝো,Pop
KWEHAN37n_w_seg_00002,কিনা একাতে মন আজ নীরবে বিবাহিত তোমার অনুভবে ফেরারি প্রেম খোঁজে ঠিকানা আকাশে মেঘনায় বোঝো কিনা বিরহ নিলে,Pop
KWEHAN37n_w_seg_00003,নিলে বাঁধে বাসা অজানা ব্যথা অধরা তারা,Pop
KWEHAN37n_w_seg_00004,দিনের আলো শেষে যখন নামে তোমাকে খুঁজে পাই আধারে,Pop
KWEHAN37n_w_seg_00005,শিরোনামে বিরহ নিলে নিলে বাঁধে বাসা অজানা ব্যথা অধরা তারাগুলো কাঁদে,Pop
KWEHAN37n_w_seg_00006,নিথর চোখের কোণে অথে শূন্যতা ভাবনার বন্দরে যা জাগে,Pop
KWEHAN37n_w_seg_00007,অপূর্ণতায় বিরহ নিলে নিলে বাঁধে বাসা অজানা ব্যথা অধরা তারাগুলো কাঁদে বেদনা খেয়ালি তুমি,Pop
KWEHAN37n_w_seg_00008,কোথায় একাতে মন আজ নীরবে বিবাহিত তোমার অনুভাবে ফেরারি প্রেম খোঁজে ঠিকানা আকাশে মেঘনায় বোঝো,Pop
KWEHAN37n_w_seg_00009,কিনা বিরহ নিলে নিলে বাঁধে বাসা অজানা ব্যথা অধরা তারাগুলো কাঁদে বেদনা খেয়াল কোথায়,Pop
mli5roiIW-s_seg_00001,ఆ খোলা চোখ খানা করো বন্ধ বাতাসের ঠান্ডা,Indie/Folk-Pop
mli5roiIW-s_seg_00002,গন্ধ হয়ে বেড়ায় ঘরেরও বাহিরে আসো ছোট্ট একটা গান করি যাতে ঘুম পাড়ানি মাসি এসে পাশে বসে হাতখানা দিবে কপাল ভরে,Indie/Folk-Pop
mli5roiIW-s_seg_00003,ভয় নেই আছি আমি পাশে হাতখানা ধরে আছি হেসে কোলেতে আমার মাথা তোমার অন্ধকার রাত নিশ্চুপ সব জোনাকির দল আজও জেগে আছে তারা হয়তো অপেক্ষায় তোমার,Indie/Folk-Pop
mli5roiIW-s_seg_00004,ঘুমের হাত রেখে হাত লিখে ঘুরি বসে অপেক্ষা করি কবে হবে কাল ফুটবে সকাল আয় ঘুম চুম অন্ধে তার সারা কপালে যাতে ঘুম,Indie/Folk-Pop
mli5roiIW-s_seg_00005,আসে সব নিশ্চুপ হয়ে যায় আয় চাঁদ মামা কাছে আয় যাতে অন্ধকার না হয় আলো মাখা কপালেতে টিপটা যাতে কিছু,Indie/Folk-Pop
mli5roiIW-s_seg_00006,আলোকিত হয় সে যাতে ভয় না পায়,Indie/Folk-Pop
mli5roiIW-s_seg_00007,পরিয় তার দুই হাত ধরে নিয়ে যা স্বপ্নের খেলা ঘরে যেথা মিলবে তার সুখের ঠিকানায় তারা দল ছুটে আয় এইখানে তার ঘুমখানা যাতে না ভাঙ্গে তাই নিয়ে যা তাকে স্বর্গের,Indie/Folk-Pop
mli5roiIW-s_seg_00008,বিছানায় যদি দেখো সেথা আমায় বসে গান তোমায় শোনায় তুমি মিষ্টি এক চুমু খেও মোর গালে অন্ধকার রাত নিশ্চুপ সব জোনাকির দল,Indie/Folk-Pop
mli5roiIW-s_seg_00009,আজও জেগে আছে তারা হয়তো অপেক্ষায় তোমার ঘুমের হাতে রেখে হাত দেখে ঘুরি বসে অপেক্ষা করি কবে হবে কাল ফুটবে,Indie/Folk-Pop
mli5roiIW-s_seg_00010,সকাল আয় ঘুম চুম বন্দে তার সারা কপালে যাতে ঘুম আসে সব নিশ্চুপ হয়ে যায় আয় চাঁদ মামা কাছে আয় যাতে অন্ধকার না,Indie/Folk-Pop
mli5roiIW-s_seg_00011,হয় আলো মাখা কপালেতে ঠিক যাতে কিছু আলোকিত হয়,Indie/Folk-Pop
ng74uaBTC4s_seg_00001,আর আসবো না বলে দুধের ওপরে ভাষা স্বর চামচে নিংড়ে নিয়ে চেয়ে,Alternative
ng74uaBTC4s_seg_00002,আছে বাইরে বৃষ্টির ধোঁয়া যেন সাদা স্বপ্নের চাদর বিছিয়েছে,Alternative
ng74uaBTC4s_seg_00003,পৃথিবীতে কেন এত বুক দোলে আমি আর আসবো না বলে যদিও কাঁপছে হাত,Alternative
ng74uaBTC4s_seg_00004,তবুও ঠিক অভ্যাসের বসে লিখছি অসংখ্য নাম চেনা জানা,Alternative
ng74uaBTC4s_seg_00005,না পাখি আমি আসবো না,Alternative
ng74uaBTC4s_seg_00006,মিছিলের প্রথম পতাকা তুলে নেই হাতে আর আসবো না বলেই জাগিয়ে তুলি,Alternative
ng74uaBTC4s_seg_00007,মানুষের ভেতর রে মানুষ কথার ভেতরে কথা গেঁথে দেওয়া কেন আসবো না,Alternative
ng74uaBTC4s_seg_00008,বলে সুখ আমি আসবো না দুঃখ আমি আসবো,Alternative
ng74uaBTC4s_seg_00009,না প্রেম হে কাম হে কবিতা আমার আমি আর আসবো,Alternative
ng74uaBTC4s_seg_00010,না আজ বিদায়ের বিষন্ন রুমালে কেতলে অক্ষর কালো আসবো না,Alternative
ng74uaBTC4s_seg_00011,এসব দেয়নি কিছুই ফুলদানি ছাড়া নেই সুবাসিত গোলাপ অথবা স্নিগ্ধ জলের ধারা,Alternative
ng74uaBTC4s_seg_00012,তবুও ফের ফিরে আসে সেই সব দুপুর দুটি কিশোরীর হাতে তিনটি কুকুর আমাদের চারপাশের নানা ভিড়ে ফিরেছে কত মানুষ তারা নিয়ে,Alternative
ng74uaBTC4s_seg_00013,জলে নুয়ে পড়া বৃক্ষ তলে দুজনার ছিল না কোন তারা এহো আমাকে দেয়নি কিছুই শুধু তোমাকে,Alternative
ng74uaBTC4s_seg_00014,ছাড়া এহো আমাকে দেয়নি কিছুই শুধু তোমাকে,Alternative
ng74uaBTC4s_seg_00015,আধার ছিন্ন করে তুমি মেলে দিলে দু হাত কি করে আমি বলো যাব তোমার,Alternative
ng74uaBTC4s_seg_00016,কাছে যেভাবে পরগাছা জনম তোমায় সূত্র বৃক্ষ ছুড়ায় তবুও ভালোবেসে পর গাছাকে কেউ বলেনি,Alternative
ng74uaBTC4s_seg_00017,বৃক্ষ অনেক কষ্ট অভিমান নিয়ে তুমিও চলে যাবে জানি দু হাত চোখ মুছে রোদ্রের কাছে আমি রাখিনি,Alternative
ng74uaBTC4s_seg_00018,এ শহর পারবে না ঠেকাতে জানি তোমার চলে যাওয়া এ শহর পারবে না ঠেকাতে জানি তোমার চলে,Alternative
ng74uaBTC4s_seg_00019,যাওয়া এ শহর আমাকে কিছুই শুধু তোমাকে ছাড়া এহর আমাকে কিছুই শুধু তোমাকে,Alternative
ng74uaBTC4s_seg_00020,ছাড়া এহর আমাকে কিছুই শুধু তোমাকে ছাড়া এহর,Alternative
ng74uaBTC4s_seg_00021,আমাকে কিছুই শুধু তোমাকে ছাড়া আমাকে দেয়নি কিছুই শুধু তোমাকে ছাড়া,Alternative
NlYM0Px9L-4_seg_00001,উড়ে যাবে সুখ চেয়ে রব হয়তো না পাবো হয়তো,Indie/Folk-Pop
NlYM0Px9L-4_seg_00002,পাবো ভাঙ্গা কিছু স্বপ্ন নিয়ে বেঁচে রব কখনো বা প্রতিবাদ কখনো চুপসে রব আমার ছোট,Indie/Folk-Pop
NlYM0Px9L-4_seg_00003,নদী আমার ভাঙ্গা ঘর আমার কিছু কল্পনা তার পৃথিবী সুন্দর আমার ছোট নদী আমার ভাঙ্গা,Indie/Folk-Pop
NlYM0Px9L-4_seg_00004,সুন্দর চলে যাবো রে ওই দূর অজানায় হারাবো সুর মোহনায় লুকিয়ে রব,Indie/Folk-Pop
NlYM0Px9L-4_seg_00005,কোন এক শ্যামল মায়ায় সবুজের ঐ সীমানায় ডাক টাকা ভোর স্বপ্নে বিভর নির্ঘুম অবুঝ বাতাস,Indie/Folk-Pop
NlYM0Px9L-4_seg_00006,জোনাকির দল দল বেঁধে চল আধারে হবে বসবাস আমার ছোট নদী আমার ভাঙ্গা,Indie/Folk-Pop
NlYM0Px9L-4_seg_00007,ঘর আমার কিছু কল্পনা তার পৃথিবী সুন্দর আমার ছোট নদী আমার ভাঙ্গা ঘর,Indie/Folk-Pop
NlYM0Px9L-4_seg_00008,আমার কিছু কল্পনা তার পৃথিবী সুন্দর সহস্র রাত আর দক্ষিণা বাতাস করলো মাতাল আবাস দেপান্তরের ওই মাঠ পেরিয়ে আধারে হবে,Indie/Folk-Pop
NlYM0Px9L-4_seg_00009,আমার ছোট নদী আমার ভাঙ্গা ঘর আমার কিছু কল্পনা তার পৃথিবী সুন্দর আমার,Indie/Folk-Pop
NlYM0Px9L-4_seg_00010,ছোট্ট আমার ভাঙ্গাঘর আমার কিছু কল্পনা তার পৃথিবী সুন্দর,Indie/Folk-Pop
nPmCDRMwvaA_seg_00001,বৃষ্টিতে ভিজে ভিজে যে তুমি আমি হেটে পার বাঁধন এ নদীর তীরে পারলের ছায়া ছুয়ে বৃষ্টি জল নামে টুপটা,Rock
nPmCDRMwvaA_seg_00002,করে তোমার উন্মুক্ত কাঁধে এ মাথা গোলাপি জাঙ্গানে,Rock
nPmCDRMwvaA_seg_00003,ভিজে একা সবকিছু বুঝে গেলে এ মুহূর্তটা রঙিন,Rock
nPmCDRMwvaA_seg_00004,দেহের বাইরে প্রেম আমার সত্য আত্মা কঠিন কঠিন সবকিছু বুঝে গেলে এ মুহূর্তটা,Rock
nPmCDRMwvaA_seg_00005,রঙিন দেহের বাইরে প্রেম আমার সত্য আত্মা বুঝি,Rock
nPmCDRMwvaA_seg_00006,তোমার মনে মত শরীর ছুয়ে সুর কামিন ফুল ফুটে থাকে বন্ধুত্বের,Rock
